course_id,price,num_subscribers,num_reviews,num_lectures,rating,content_duration,level,subject,paid,Date
1243016,100,50,5,16,0.6600000262260437,1.5,1,2,1,2017-06-06
861742,30,50,7,45,0.7599999904632568,4.0,1,2,1,2016-06-01
1227578,200,50,5,60,0.9599999785423279,5.0,2,4,1,2017-05-29
1092632,65,50,6,115,0.9599999785423279,9.5,1,2,1,2017-02-01
302468,20,49,10,13,0.8799999952316284,2.0,1,1,1,2014-09-22
1172370,50,49,3,23,0.949999988079071,3.0,4,1,1,2017-05-10
475912,35,49,10,42,0.8799999952316284,2.0,1,1,1,2015-05-15
548764,50,49,8,27,0.8799999952316284,3.5,3,1,1,2015-07-14
743932,40,48,4,14,0.07000000029802322,2.0,1,3,1,2016-04-13
813142,50,48,3,61,0.07000000029802322,8.0,2,3,1,2016-04-08
283038,35,48,15,74,0.550000011920929,8.0,1,2,1,2014-09-14
1193056,90,48,12,18,0.949999988079071,2.5,2,1,1,2017-05-05
476880,75,47,5,27,0.949999988079071,2.5,3,1,1,2015-06-01
756520,30,47,9,22,0.949999988079071,2.0,1,1,1,2016-02-11
883138,180,47,7,13,0.10999999940395355,3.0,1,3,1,2016-07-12
899702,50,47,0,82,0.75,4.0,1,3,1,2016-07-28
619610,50,46,0,91,0.3400000035762787,7.0,1,3,1,2015-09-23
851288,100,46,11,24,0.949999988079071,2.5,2,1,1,2016-05-24
777276,20,45,10,47,0.949999988079071,4.5,1,1,1,2016-06-29
315716,20,45,2,49,0.9599999785423279,8.5,2,1,1,2014-10-14
332690,20,45,4,6,0.10999999940395355,1.0,2,1,1,2014-11-24
1107904,50,45,1,72,0.949999988079071,8.0,2,1,1,2017-02-09
200108,20,45,4,48,0.9900000095367432,1.5,1,3,1,2014-05-01
575476,100,45,4,31,0.949999988079071,1.5,2,1,1,2015-09-25
286160,95,45,1,26,0.3700000047683716,5.0,3,2,1,2014-10-25
762482,35,45,5,15,0.10999999940395355,1.5,2,3,1,2016-02-15
809968,95,45,5,43,0.8899999856948853,3.0,2,3,1,2016-04-04
1277924,40,44,0,68,0.15000000596046448,8.5,1,4,1,2017-07-06
856950,50,44,2,40,0.07000000029802322,7.5,2,3,1,2016-05-24
1113170,50,44,3,34,0.9599999785423279,2.0,1,3,1,2017-03-13
151120,20,44,2,7,0.800000011920929,1.0,1,3,1,2014-02-02
773174,40,44,0,11,0.9399999976158142,1.5,1,3,1,2016-04-12
1101806,30,44,13,19,0.09000000357627869,2.0,2,2,1,2017-02-06
460652,20,44,5,8,0.7900000214576721,0.5166666507720947,1,1,1,2015-03-29
410196,20,44,3,8,0.9399999976158142,1.0,1,1,1,2015-03-26
994666,200,44,4,12,0.18000000715255737,0.5333333611488342,2,1,1,2016-11-08
822926,20,44,6,55,0.07000000029802322,10.0,1,1,1,2016-08-29
28172,50,43,0,25,0.10000000149011612,4.0,2,1,1,2012-11-12
25794,30,43,6,17,0.7599999904632568,1.5,1,1,1,2012-10-02
806122,20,43,17,39,0.10999999940395355,3.0,1,1,1,2016-09-25
1022032,20,43,12,46,0.5600000023841858,9.5,1,2,1,2016-12-26
953220,50,43,3,57,0.699999988079071,6.5,2,2,1,2016-11-24
1104494,40,43,4,13,0.46000000834465027,1.0,2,3,1,2017-04-23
681878,50,42,10,32,0.7900000214576721,4.5,3,2,1,2015-12-09
773060,25,42,14,11,0.8100000023841858,0.6833333373069763,3,1,1,2016-02-29
417088,35,42,2,13,0.7599999904632568,1.5,2,1,1,2015-02-13
953490,150,42,1,11,0.2199999988079071,3.0,2,1,1,2016-09-13
620372,65,42,2,37,0.9599999785423279,4.0,1,3,1,2015-10-24
963094,40,42,8,17,0.6100000143051147,1.5,1,3,1,2016-10-12
773156,40,42,1,11,0.8799999952316284,1.5,2,3,1,2016-04-13
1042382,55,42,5,19,0.4399999976158142,1.5,3,3,1,2016-12-22
701662,20,41,1,13,0.800000011920929,1.0,2,3,1,2015-12-28
762240,35,41,2,11,0.4399999976158142,1.5,1,3,1,2016-02-14
912254,50,41,0,43,0.8799999952316284,2.0,2,3,1,2016-07-28
909486,25,41,11,6,0.7900000214576721,0.5833333134651184,2,2,1,2016-07-20
835082,40,41,9,86,0.7900000214576721,8.0,2,2,1,2016-05-11
65105,50,41,1,55,0.6899999976158142,7.5,1,1,1,2013-07-23
829182,30,41,3,37,0.9300000071525574,3.0,2,1,1,2016-05-25
492954,20,41,3,48,0.10999999940395355,2.0,2,3,1,2015-07-06
1113442,200,40,7,26,0.9300000071525574,1.5,1,1,1,2017-02-22
479496,50,40,1,27,0.9300000071525574,2.5,1,1,1,2015-08-05
955242,20,40,2,8,0.7900000214576721,1.5,1,2,1,2016-09-10
54246,45,40,6,18,0.9300000071525574,1.0,2,1,1,2013-05-16
23683,20,40,1,27,0.7400000095367432,1.0,2,3,1,2012-08-31
866528,50,39,2,136,0.10999999940395355,8.0,2,3,1,2016-07-05
824034,45,39,6,37,0.9300000071525574,3.0,2,1,1,2016-08-26
1095700,95,39,6,28,0.9300000071525574,1.0,1,1,1,2017-02-27
1246636,30,38,6,34,0.7900000214576721,4.0,2,2,1,2017-06-12
65113,50,38,7,17,0.9800000190734863,8.0,2,1,1,2013-07-23
754524,50,38,9,25,0.9800000190734863,2.5,1,1,1,2016-05-27
895030,20,38,6,16,0.9300000071525574,1.0,1,1,1,2016-07-04
994312,20,38,3,25,0.7900000214576721,1.0,1,2,1,2016-11-21
733922,25,38,7,51,0.10999999940395355,4.5,2,3,1,2016-02-03
1193950,85,38,12,83,0.10999999940395355,5.0,2,3,1,2017-05-02
744080,40,37,3,19,0.10999999940395355,2.0,1,3,1,2016-04-13
1031698,20,37,7,6,0.10999999940395355,1.5,2,3,1,2017-03-15
1185390,80,37,6,131,0.7900000214576721,12.5,1,2,1,2017-04-19
1049380,65,37,0,49,0.7900000214576721,4.0,2,2,1,2017-03-22
1031696,60,37,15,12,0.9800000190734863,1.0,2,1,1,2016-12-13
607362,20,37,2,43,0.9800000190734863,2.5,1,1,1,2015-10-10
370440,50,37,3,22,0.9800000190734863,4.0,1,1,1,2014-12-29
